Round,mean,std,min,max,lower_bound,upper_bound
0,0.4997422445761167,0.0058341919006941224,0.491950423746123,0.5097458899796984,0.48830722845075625,0.5111772607014772
1,0.49991301608385086,0.00677117441127229,0.4897409324310212,0.5134748123118674,0.48664151423775714,0.5131845179299446
2,0.5018695011007483,0.011296786770071102,0.4821456481660468,0.5166123927300906,0.479727799031409,0.5240112031700878
3,0.5044007419862591,0.009839283277756941,0.4875359380945475,0.5178471361341989,0.4851157467618554,0.5236857372106627
4,0.5038604985367222,0.013949802028956283,0.48091141501095325,0.5277408861908981,0.4765188865599679,0.5312021105134765
5,0.5061178113329846,0.013275270845747015,0.4823472902440713,0.5209366042097596,0.48009828047532044,0.5321373421906488
6,0.5054948019689223,0.013610339585622341,0.4836400997893014,0.5236918157707754,0.4788185363811025,0.532171067556742
7,0.5084194965973352,0.015870982412210122,0.4788785054904279,0.532268950328115,0.4773123710694034,0.539526622125267
8,0.5103856811784923,0.015376409863656171,0.47841632034647036,0.5351871942233422,0.4802479178457262,0.5405234445112583
9,0.5127632761927564,0.01604047713420921,0.4791689452258406,0.5368030684033097,0.4813239410097064,0.5442026113758065
10,0.5110507355172398,0.018230390833156352,0.47512286237214213,0.5451001571556993,0.47531916948425335,0.5467823015502262
11,0.5108012814266916,0.01994655581797541,0.47496128511224966,0.55,0.47170603202345973,0.5498965308299234
12,0.511131406201076,0.019424349142340203,0.47185486702656454,0.5450612916069905,0.4730596818820892,0.5492031305200628
13,0.5071870242637128,0.020697686823974475,0.47252931492313344,0.55,0.4666195580887228,0.5477544904387027
14,0.5085956262174396,0.020618464433436668,0.4654348162028059,0.5472692745791361,0.46818343592790373,0.5490078165069755
15,0.5092972107120256,0.021932104730220166,0.46677925825333416,0.55,0.46631028544079406,0.5522841359832571
16,0.5074985041435369,0.021178073132325514,0.46866583715555943,0.5479611184249064,0.4659894808041789,0.5490075274828949
17,0.5083605556805291,0.021916028917950303,0.4669539401147353,0.55,0.4654051390013465,0.5513159723597116
18,0.5089546265805199,0.02317687519481561,0.4749389549370288,0.55,0.46352795119868134,0.5543813019623586
19,0.508516588243425,0.020903999182439285,0.4806499875197706,0.548405676696317,0.46754474984584404,0.5494884266410061
